,sentence,author,title,pet
31,"by proposing to wipe out that all important low-income exemption, administration officials portrayed themselves as meanspirited, and stirred up unnecessary rhetorical opposition to the entire idea of taxing benefits",bb,for-taxes-on-benefits,low-income
32,"'' he doesn't want his name published, but his story is so typical of what other americans experienced, and perhaps their fathers, uncles and friends who preceded them in other wars on foreign soil, that it should be told before we close the book on our involvement in vietnam",bbk,a-vietnam-love-story,experienced
33,it began in saigon in the late 1960's,bbk,a-vietnam-love-story,late
34,"if mayor la guardia went up against a big guy, he did it directly",bbp,'LITTLE-FLOWER'-WAS-A-THORN-IN-BIGGIES'-SIDES,did it
35,"its leader, the aging santiago carrillo, has tended in recent years to favor the workers' wing of the party, causing a wholesale defection by intellectuals, many of whom have joined the socialists",bbps,if-the-socialists-win-the-spanish-election,aging
36,the shiites - the largest and most disadvantaged group - need special help to resettle in southern lebanon the squatters already being displaced from beirut by the central government,bbr,the-hope-of-lebanon,disadvantaged
37,radicalism has faded away on college campuses,bbyp,when-reagans-exconservatives-wont-be-washington-a-huge-tax-hike,faded away
38,"'' there was so much reason in what he said, that the bigwig family, getting wind of it, and being horribly frightened by the late desolation, resolved to unite with him to do the things that were right - at all events, so far as the said things were associated with the direct prevention, humanly speaking, of another pestilence",bcd,nobody-s-story,late
39,"late in 1981, congress agreed that the corporation should bear a fair share of the spending reductions allocated among various federal programs, and reduced its appropriations by one-third",bchp,on-public-broadcasting,late
40,"what troubled me about her reply was that she apparently didn't appreciate the virtue of saying, ''i don't know,'' didn't realize that her purveying false information, false merchandise, would have appalled mark twain",bcn,auld-acquaintancenot-forgot-altered,troubled
41,"the ataris hope to neutralize political opposition with ""financial incentives to private employers and labor unions,"" ""government assistance to",bdbyajhbj,INDUSTRIAL-NONPOLICY,neutralize
42,"and perhaps it's true that only when bryant abdicates his pole of the alabama dialectic will his antithesis, wallace, be neutralized",bdm,bama-s-boys,neutralized
43,several mayors were dismissed by military order,bdr,plos-future,dismissed
44,no head of government had dismissed any judge on political grounds and without recommendation from the chief justice of pakistan,bea,zias-state-terrorism-president-reagan-and-gen-mohammad-zia-ulhaq,dismissed
45,"the convention, ratified shortly afterward by the senate, limited accident damages that airlines were required to pay to $8,300 per passenger",befh,CHEATING-AIR-TRAVELERS,accident
46,"absurdly, had such an accident occurred under the new treaties, surviving families of the victims flying on domestic tickets could receive compensation above $1 million, while families of victims holding international tickets would be limited to settlements of only $117,000, even though pilot error may have contributed to the crash",befh,CHEATING-AIR-TRAVELERS,accident
47,the educational establishment is groping more creatively of late,betf2,studying-precedes-athletics,late
48,"more than 300,000 wealthy taxpayers blanched as they wrote out their annual checks to the government this month",bfgajm,this-is-socialism,wealthy
49,but among them there is a small minority who were not so troubled,bfgajm,this-is-socialism,troubled
50,sympathy for hard-line reaganism or expecting west germany to pull away from france and line up with mrs,bfl,FOREIGN-AFFAIRS;-A-Swing-In-Bonn,expecting
51,the borrowing bust is beyond the ability of any government to manage reasonably,bfl,foreign-affairs-a-world-reserve-plan,bust
52,it won't be too late when results are counted for the president still to decide that it isn't a good idea and that mx is not a good way to deal with the issue of strategic balance,bfl,foreign-affairs-ask-men-who-know,late
53,"they can not only give advice that is both fully experienced and independent, they can give the president a base which would help head-off partisan warfare on a fateful issue for the whole nation",bfl,foreign-affairs-ask-men-who-know,experienced
54,"the alliance is straggling up to a crossroads, but it isn't too late for resolve",bfl,foreign-affairs-nato-s-swirling-currents,late
55,"the idea that a very troubled region can be organized by some sort of ''strategic consensus,'' even if it's expressed in more urgent and appealing economic terms, is no more palatable in the western hemisphere than it was in the middle east",bfl,foreign-affairs-people-and-maps,troubled
56,"although he denies it, his new views are an about-face from the policies washington insisted upon as late as september, and in fact from policies the u",bfl,foreign-affairs-seize-the-moment,late
57,"that is the inspiration provided by the late jean monnet, who sired the european community by poking and nudging leaders together and firing them with his inspiration",bfl,foreign-affairs-seize-the-moment,late
58,there have been so many wars of late and so much talk of war that the abstractions came to hide the simple reality,bfl,foreign-affairs-the-human-factor,late
59,''senior official'' who said washington was considering a ''war chest'' to subsidize exports and dump excess dairy products on the world market to give other countries ''a taste of their own medicine,bfl,foreign-affairs-the-primrose-path,chest
60,'' he suggested an ingenious way to make the message clear before it is too late,bfl,foreign-affairs-warning-for-africa,late
61,"even with the dense pack's close spacing of silos, at best only a single mx missile could be disabled by 27-megaton warheads - the largest that the russians could deliver with existing missiles",bgak2,dense-pack-works,disabled
62,president reagan's plan will assure survivability of this deterrent force until at least the late 1990's,bgak2,dense-pack-works,late
63,"pulled a number of its most seasoned operatives from assignments around the world and rushed them into honduras to direct a ''quick strike'' attack on managua, which was set for the beginning of march",bgc,toppling-managuas-regime,seasoned
64,"across the gulf of fonseca, in el salvador, more than 1,000 of the late president somoza's guardsmen who had enlisted in the salvadoran army, along with some 200 serving in the guatemalan security police, were rehearsing to move on a few hours' notice to join the attack",bgc,toppling-managuas-regime,late
65,"'' like the cuban ''freedom fighters'' of the 1960's, the c",bgc,toppling-managuas-regime,freedom fighters
66,"1, miguel de la madrid will face economic difficulties as serious as any mexico has experienced in 50 years",bgfe,bailing-out-mexico,experienced
67,"this policy shift would allow 700,000 low-income families to be permanently removed from the tax rolls",bggd,the-tax-cut-should-go-to-people,low-income
68,"when general walter returned in late july for what he hoped would be an angolan capitulation on the cuban issue, he found that south africa had poisoned the waters with a major military buildup along the border",bgjb,pretorias-namibia-ploy,late
69,"when south africa signed united nations resolution 435 in april 1978, which calls for a cease-fire, election and independence in namibia, it thought it had an ideal party to defeat or neutralize swapo -the democratic turnhalle alliance, led by the crusty afrikaner politician dirk mudge",bgjb,pretorias-namibia-ploy,neutralize
70,mudge was in effect dismissed,bgjb,pretorias-namibia-ploy,dismissed
71,nothing underscores the alliance's virtual demise more than his recent visit to los angeles to seek new support among members of the reagan ''kitchen cabinet,bgjb,pretorias-namibia-ploy,demise
72,"marcos has used the bases to purchase the american support he needs to maintain himself in power, and philippine permission for american use of the bases is unlikely to long survive this sick and aging dictator",bgmk,philippine-leverage,aging
73,"in late 1976, when syria renewed its alliance with the palestinian liberation organization, the lebanese christians lost their only ally",bgs,gemayels-importance,late
74,"but in those late depression days not many new york families had cars, and if they did they were infrequently used",bha,love-capital-el-note-to-the-underground,late
75,others opted for as late as 5:05,bha,love-capital-el-note-to-the-underground,late
76,"as late as the early 1950's, when i was attending columbia university, i was able to time my attendance at 8 or 8:30 a",bha,love-capital-el-note-to-the-underground,late
77,this was not a ''happy accident'' arranged for publicrelations purposes,bhes,andropov-reads-america-fluently,accident
78,"andropov has been intensely involved with the contradictions in soviet and communist society from his early career: his mentor, the late politburo member otto kuusinen, survived stalin's purges but his son did not",bhes,andropov-reads-america-fluently,late
79,"as an explanation for the demise of ''sunrise semester,'' cbs stated that only 47 people were taking the course offerings for college credit",bhl,adieu-sunrise-semester,demise
80,that is why we did it,bhl,adieu-sunrise-semester,did it
81,the late thomas j,bhl,adieu-sunrise-semester,late
82,"'' with all demographic statistics pointing to an aging population, and with increasing numbers of retirees in our country, commercial television should recognize the need for more and varied adulteducation opportunities",bhl,adieu-sunrise-semester,aging
83,this lending arose and continued because of the enormous and long-lasting deficits that resulted from the rise in oil prices in late 1973,bhl,international-bankings-house-of-cards,late
84,"in fact, the war seemed to unleash a spirit of alienation from the united states that had been quietly building in the region since the late 1960's",bhr,a-signal-to-the-latins,late
85,"james thompson recently vetoed a proposed change in illinois's method of execution from the electric chair to lethal injection, explaining that opponents of capital punishment would not be mollified by a different method and that supporters of the death penalty could rely on the effectiveness of electrocution",bhs,homicide-by-injection,capital punishment
86,"still, many supporters of capital punishment praise lethal injection for being ''humane",bhs,homicide-by-injection,capital punishment
87,"i myself have wondered if maybe this isn't part of our problem (with capital punishment), if maybe we should review and see if there aren't even more humane methods now - the simple shot or tranquilizer",bhs,homicide-by-injection,capital punishment
88,"atrocious crimes should be punished severely, but capital punishment, lethal injection included, is a useless and atavistic horror",bhs,homicide-by-injection,capital punishment
89,"only this do i know: we collected those things until the late summer of 1945, and we stopped only when gen",bink,woodlawn-ave-boys-vs-the-wartime-axis,late
90,the late justices hugo l,birk,the-media-and-juries,late
91,he has long sought treatment of an illness that dates to a suspicious auto accident that occurred shortly after he claimed that his nearly successful 1971 election campaign against the late president park chung hee had been victimized by vote fraud,bjac,after-kims-freedom,accident
92,"5 percent of the total, were for heroin; added to this figure are the street crimes, unrecorded by statistics, that are committed by addicts so that they can supply their habit",bjb,DECRIMINALIZING-HEROIN,addicts
93,to make heroin available at little or no cost to those who seek it might drastically increase the number of new addicts,bjb,DECRIMINALIZING-HEROIN,addicts
94,"if an addict is going to use heroin in any event, are we not better off making it available to him",bjb,DECRIMINALIZING-HEROIN,addict
95,"at the same time, there will be far better opportunities to identify addicts and help them with their illness",bjb,DECRIMINALIZING-HEROIN,addicts
96,"when the company opted for higher prices and short-term profits over sales, it laid off 7,550 employees, in 1981",bjbagp,big-steels-scapegoat,laid off
97,shultz will modify both words and deeds when he gets around to it - but by then it may be too late,bjbo,CENTRAL-AMERICAN-FOLLY,late
98,"late last month, it was reported that 15 more leaders of the political opposition had disappeared from salvadoran steets",bjbo,CENTRAL-AMERICAN-FOLLY,late
99,"the most significant aspect of this measure, almost completely obscured from the public, is that it will insure as wild and wasteful a spree of unneeded and unwanted new highway construction, at steadily escalating costs, as this country has ever experienced",bjbo,highway-robbery,experienced
100,"'' in the late 1970's, nato planners considered matching the soviet buildup of medium-range missiles by installing new nato missiles on surface ships in the north sea",bjc,possible-west-german-neutralism,late
101,"the european community, which has made scant progress toward unity since the late 1970's, will then become a hollow organization, a customs union at best, with no firm economic structure to undergird any political arrangement which could attract the west germans",bjc,possible-west-german-neutralism,late
102,"if bonn's european ties are finally broken, west germany may be increasingly drawn to the idea of a neutralized central europe",bjc,possible-west-german-neutralism,neutralized
103,"the avowed purpose of the bill is to stop the flow of immigrants and to save, for citizens, jobs now held by undocumented workers - many of them hispanic",bjga,immigrant-nonbill,undocumented workers
104,even all that time and money would not prevent the hiring of undocumented workers: history shows that there is no such thing as a forge-proof card,bjga,immigrant-nonbill,undocumented workers
105,"for millions of older americans, this may mean more than just a few days at home with the sniffles",bjhs,flu-shots-for-the-elderly,sniffles
106,elderly people have good reason to fear the flu,bjhs,flu-shots-for-the-elderly,elderly
107,"from 1972 to 1978 (the latest data available), more than 97,000 elderly americans died from influenza",bjhs,flu-shots-for-the-elderly,elderly
108,"most of the cost fell on the elderly themselves, and on medicare",bjhs,flu-shots-for-the-elderly,elderly
109,the great tragedy is that the deaths and the high cost of treating flu victims among senior citizens could have been avoided,bjhs,flu-shots-for-the-elderly,senior citizens
110,"health professionals, spokesmen for organizations representing the elderly and congressional investigations generally focus on two of the major considerations: money and the disastrous ''swine flu'' vaccination program of 1976",bjhs,flu-shots-for-the-elderly,elderly
111,"an overwhelming majority of the elderly cannot afford to get flu shots privately, and the administration is in no mood to help provide the funds",bjhs,flu-shots-for-the-elderly,elderly
112,"at a hearing last year in new york city about flu shots, representatives of national senior citizens' organizations, as well as elderly local residents, agonized over the choices older americans must make during cold winter months - choices between paying heating bills and buying food or paying for flu shots",bjhs,flu-shots-for-the-elderly,elderly
113,"at the hearing, the congressional office of technology assessment presented the results of a dramatic study highlighting the costeffectiveness of flu vaccine, particularly for the elderly",bjhs,flu-shots-for-the-elderly,elderly
114,"the study showed that for high-risk elderly people, preventive inoculations produced an extra month of healthy life at a cost of only $2 and an extra year of healthy life at a net savings in medical expenditures",bjhs,flu-shots-for-the-elderly,elderly
115,"despite the administration's attempts to repeal that provision, medicare continues to pay for prevention of pneumonia among the elderly",bjhs,flu-shots-for-the-elderly,elderly
116,amman is troubled by the precedent of the rogers plan of 1969 (named for william p,bjjs,arabs-is-reagan-tenacious,troubled
117,"technical problems of aging reactors, the inevitable erosion of professional competence in a dying industry, and politically motivated efforts to circumvent established safeguards all increase the risk of a serious accident within the next few years",bjl,NUCLEAR-POWER'S-NEW-PERIL,accident
118,"moreover, the potential deaths and property damage caused by such an accident could be far higher than previously supposed, according to a sandia national laboratories study recently released by the nuclear regulatory commission",bjl,NUCLEAR-POWER'S-NEW-PERIL,accident
119,"after years of bombardment by radiation, reactor vessel walls become ''embrittled'' and may rupture under certain conditions; steam generator tubes corrode, sometimes beyond repair; and the whole complex array of pipes, tubes and valves deteriorates, making plants more susceptible to compound failures like those that caused the accident at three mile island",bjl,NUCLEAR-POWER'S-NEW-PERIL,accident
120,growing technical problems are being aggravated by a lack of qualified personnel to operate these aging plants,bjl,NUCLEAR-POWER'S-NEW-PERIL,aging
121,"rather than limit itself to reforming personal bankruptcy, congress really ought to consider whether the bankruptcy laws should be so heavily weighted in favor of rehabilitation of troubled businesses",bjml,rein-in-bankruptcy,troubled
122,european child-care policies deal not only with day care but also with child-care leave,bjn,childcare-nonpolicy,with child
123,viera to leave el salvador before it was too late,blg,reagans-bill-of-health-for-salvador-brutality,late
124,dismissed as ''an internal affair,blk,sensitivity-to-spain,dismissed
125,"but there may be a better first step to reduce the overload, one that might reconcile the deep conflict of views among experienced judges and lawyers who share a common devotion to the integrity and improvement of the federal judicial system",blnc,help-for-high-court,experienced
126,"in the meantime, solidarity would be deprived of its legal status, and its president, lech walesa, even if he were freed would be barred from any independent political activity",blu,warsaws-next-erasures,deprived
127,"ever since james prior, britain's secretary of state for northern ireland affairs, began talking late last year about the creation of a new electoral body to deal with the future of the province, ulster's most eloquent politicians have predicted its failure",bmb,in-ulster-solution-brings-problems,late
128,'s state-run predecessor) actually provided funding for indigent mothers and children,bmd,new-federalismold-discriminationism,indigent
129,"'' since few black low-income families were considered to have suitable homes, blacks were disproportionately underrepresented on welfare rolls",bmd,new-federalismold-discriminationism,low-income
130,"let us not forget why the various federal social service programs such as day care for children and the mentally ill, homemaker services for the aged and infirm, and aid to families with dependent children were created in the first place",bmd,new-federalismold-discriminationism,homemaker
131,they were not developed out of capriciousness; they were developed by previous congresses out of compassion and responsibility for the special vulnerabilities and obvious needs of disadvantaged members of society,bmd,new-federalismold-discriminationism,disadvantaged
132,"in the past, the claim of ''states' rights'' has meant neglect of the special needs and rights of minorities",bmd,new-federalismold-discriminationism,special needs
133,"the recent demise of cbs cable suggests, too, that the marketplace may not be able to provide high culture, as public broadcasting has in the past",bmfadb,broadcasters-burdens,demise
134,"our findings suggest that the elderly have not become poorer as a result of the last decade's high inflation, as is widely believed, but have actually become richer relative to the rest of the population, at least in terms of income",bmh,old-doesnt-mean-poor,elderly
135,"accordingly, congress should distinguish between ''elderly poor'' and ''elderly rich'' in the allocation of benefits",bmh,old-doesnt-mean-poor,elderly
136,it is widely and erroneously believed that the elderly lose more to inflation than the young and middle-aged because the products they consume rise in price faster and because they live on fixed incomes,bmh,old-doesnt-mean-poor,elderly
137,"the elderly, aged 65 and above, do indeed consume different goods than those used to calculate the consumer price index",bmh,old-doesnt-mean-poor,elderly
138,"if the prices of the goods they consume the most were to rise faster than the prices of other goods, the elderly would suffer from having their social security benefits tied to this index",bmh,old-doesnt-mean-poor,elderly
139,but prices for the elderly have actually differed very little from those for the nonelderly,bmh,old-doesnt-mean-poor,elderly
140,"the supposedly ''fixed'' incomes of the elderly have in reality risen faster than the rate of inflation, and even somewhat faster than the incomes of the younger population",bmh,old-doesnt-mean-poor,elderly
141,"real income per elderly household rose 18 percent between 1970 and 1978, a period of particularly high inflation",bmh,old-doesnt-mean-poor,elderly
142,but the disparity between rich and poor among the elderly was narrowing during this period,bmh,old-doesnt-mean-poor,elderly
143,from 1970 to 1978 the fraction of elderly families below the government poverty level fell from 24,bmh,old-doesnt-mean-poor,elderly
144,there still remains a substantial fraction of the elderly below the poverty level - more than among the nonelderly - but the gains are substantial,bmh,old-doesnt-mean-poor,elderly
145,these income figures are particularly remarkable when one considers that the fraction of the elderly male population working declined from 25,bmh,old-doesnt-mean-poor,elderly
146,"to be sure, during a few years of inflation, incomes might have held up well even as the wealth of the elderly eroded",bmh,old-doesnt-mean-poor,elderly
147,"but the elderly do not, as is widely believed, hold the majority of their wealth in savings accounts and other assets that are particularly vulnerable to inflation",bmh,old-doesnt-mean-poor,elderly
148,the most important wealth holdings of most elderly are houses and the value of expected future social security benefits,bmh,old-doesnt-mean-poor,elderly
149,a jump in prices of a dollar will cause only a 10-cent loss in real wealth for the elderly,bmh,old-doesnt-mean-poor,elderly
150,"the poor elderly have few such holdings, and their wealth is on average completely unaffected by price changes",bmh,old-doesnt-mean-poor,elderly
151,"rather than seek to protect the incomes and wealth of the elderly, we should seek to help the poor elderly without giving unneeded windfalls to the wealthly elderly",bmh,old-doesnt-mean-poor,elderly
152,"for example, the benefits of the well-to-do elderly could be reduced by subjecting them to the income tax",bmh,old-doesnt-mean-poor,elderly
153,it is quite fair to suggest that these recipients should have their benefits reduced in order to maintain (or increase) those of the poor elderly,bmh,old-doesnt-mean-poor,elderly
154,''elderly'' and ''needy'' are really very different things,bmh,old-doesnt-mean-poor,elderly
155,"while the american and world economies are undergoing structural transformations more profound than any since the late 19th century, established wisdom has responded with a 167-year-old idyll called free trade",bmh,worker-be-saved,late
156,"until 1963, a state could convict an indigent defendant of a felony and send him to prison even though he had not been defended by a lawyer at trial",bmhf,gideon-ii,indigent
157,"a dozen years later, however, legal observers noted a growing gap between the constitutional right to counsel and what one newspaper called ''the real-life availability of free, court-appointed lawyers for indigent defendants",bmhf,gideon-ii,indigent
158,"before that case, indigent defendants were tried, convicted and imprisoned without having lawyers to represent them",bmhf,gideon-ii,indigent
159,"before he came to power, the soviet union had never experienced more than two consecutive bad harvests; it is now suffering through a record fourth bad harvest",bmig,a-legacy-of-deficits,experienced
160,khrushchev experienced problems under mr,bmig,a-legacy-of-deficits,experienced
161,"on the other side of town is another stream, a rather larger one, in the fork of which sits on old estate managed by my aunt and an elderly cousin",bmj,the-voices-of-the-turtles-are-heardat-home,elderly
162,"last memorial day weekend, one especially big old turtle, her biological clock perhaps thrown off by senility, came out rather late, after the crows were awake",bmj,the-voices-of-the-turtles-are-heardat-home,late
163,"the crows were about to dig up the nest and eat the eggs when my elderly cousin, who arises even before the crows, chased off the birds, dug up the nest and left it in the bucket that now sits midway between the radiator and my stereo components",bmj,the-voices-of-the-turtles-are-heardat-home,elderly
164,i walked away from the scene of the crime as one walks away from a gory auto accident,bmm,mugged-sort-of,accident
165,"why not go all the way with the notion that the only story is the numbers; if the bottom line is reduced to zero, how and who brought it there should make no difference - except as a case study for future m",bmmt,peanuts,go all the way
166,"the ''constitutional'' role of the military was determined by the first prime minister, david ben-gurion, in the late 1940's",bmp,TOO-MUCH-U.S.-'ROPE',late
167,the american-soviet talks on mutually balanced reductions of forces in europe started late and are yielding little,bneatr,a-crisis-in-nato-on-missiles,late
168,schmidt has placed his own neck in a political guillotine: the odds that his coalition can survive the euromissile vote he must call are slim,bneatr,a-crisis-in-nato-on-missiles,slim
169,"its fondest international hopes are for a neutralized west germany and a disgruntled, isolated america",bneatr,a-crisis-in-nato-on-missiles,neutralized
170,"'' i released my grip, expecting that when she turned to face me, there would be a moment of revelation",bof,when-i-shaved-off-my-mustache,expecting
171,turkeys clung to branches just high enough to allow them to peer at the hideous carcass of their late friend,bpe,when-forks-clashed,late
172,"once you've mastered it, metric measurement is demonstrably more economical and simpler to use than the english system",bpr,yes-virginia-new-yorkers-once-dialed-exchanges,economical
173,"we must not allow ourselves to be deprived of our little extravagances, our harmless fits of subdued abandon",bpr,yes-virginia-new-yorkers-once-dialed-exchanges,deprived
174,"it would be a tragedy to repeat the blunders of 1930: if the federal reserve late in that year had taken determined and non-radical action, the post-1929 stock market crash could have been contained as a normal capitalistic recession instead of snowballing into a failure of thousands of banks and into a great depression",bps,apolitical-science-supports-the-fed,late
175,"at the request of his lawyer, the hearing examiner dismissed a complaint that what happens when you complain",brc,the-editorial-notebook-taxi,dismissed
176,petersburg masstransit programs to pay the heating bills of the elderly in st,brdl,the-economic-pie-isn-t-growing-but-more-americans-need-slices,elderly
177,"decisions on the elderly, on immigration, on the handicapped, on health care, which were once so easy, will become immensely harder",brdl,the-economic-pie-isn-t-growing-but-more-americans-need-slices,elderly
178,"within the ranks of the elderly, the rise of ''old-old,'' those 75 and over, is nearly twice that of the ''young-old'' (65-74)",brdl,the-economic-pie-isn-t-growing-but-more-americans-need-slices,elderly
179,"in fiscal 1981, the elderly got one dollar of every four in the federal government's budget - up 30 percent from 1979, and growing",brdl,the-economic-pie-isn-t-growing-but-more-americans-need-slices,elderly
180,"ann kutza of the university of chicago suggests in ''the benefits of old age'' that as the number of elderly increases, as financial pressures and tax burdens on young families grow and as costs soar it's time to ask ''not have we done enough for the elderly but have we done too much",brdl,the-economic-pie-isn-t-growing-but-more-americans-need-slices,elderly
181,"that statement is as applicable to the continuing lack of a policy toward the soviet union that is both coherent and worked out with our western european partners as it is to passivity in the face of israel's concerns that led it to invade lebanon, the switching of signals sent to the argentine junta last year, and the carter administration's late awakening to perils faced by the shah of iran",breh,MISUSING-ECONOMIC-SANCTIONS,late
182,"troubled by inflation and budget deficits, group members, notably mr",brl,atari-democrats,troubled
183,"the requirement that companies wanting to do business in a developing country must agree, as a condition for entry, to export a certain dollar amount or percentage of the company's production in order to earn foreign exchange, can effectively keep a company out",brrm,end-nontariff-barriers,developing country
184,"as a result of our decision, numerous jobs and high-technology manufacturing were lost to the developing country",brrm,end-nontariff-barriers,developing country
185,"by 1980, key indicators of mechanical condition hit all-time lows, and passengers experienced the worst service in memory",brsasmj,more-sub-than-way,experienced
186,"the white house has also chosen to ignore the dictator's repression of suspected marxists - although an estimated 30,000 leftist and liberal chileans have perished in concentration camps or been killed by firing squads since general pinochet came to power in 1973",bsc,dont-certify-chile,perished
187,"in late summer, general fernando paredes of the chilean secret police charged that church leaders have been recruited by soviet agents and have become ''allies of the marxists",bsc,dont-certify-chile,late
188,but it would be a mistake for us to confirm a suspicion prominent in some minds that the fear of both israel's army reoccupying the sinai and america's withdrawal of its multimillion dollar aid package has neutralized us and left a clear field for begin and his military cohorts to wreak havoc in the region,bsh,egyptians-ask-why-cambridge-mass-it-is-perhaps-somewhat-unseemly-to,neutralized
189,but ariel sharon is israeli-born and was reared in the bosom of the labor movement at a time when it was still committed to the values of humanism and socialist internationalism,bsh,egyptians-ask-why-cambridge-mass-it-is-perhaps-somewhat-unseemly-to,bosom
190,"these are not grounds for reneging on our commitment to israel's existence, but if, like other egyptians, i feel deep pessimism it is because we are troubled by this thought: if it was possible for the sons of those who suffered from hitler's persecution to map out a plan for the ''pacification of the galilee'' that led to the shatila and sabra massacre, what is to assure us that in a generation or two there will not arise another military leader with a psyche like mr",bsh,egyptians-ask-why-cambridge-mass-it-is-perhaps-somewhat-unseemly-to,troubled
191,1 million (leaving out perhaps hundreds of thousands of illegal immigrants),bshs,new-york-75-cents-is-enough,illegal immigrants
192,"hayes filed his first lawsuit), the city was providing beds for only 1,800 of the homeless and spending $8 million a year doing it",bshs,new-york-busing-the-homeless,doing it
193,"5 million, but that didn't include the half-free illegal immigrants, so rounding it out is certainly no worse than rounding out an opponent's record",bshs,new-york-free-the-18-million,illegal immigrants
194,people used to switch their channel knobs on their television sets to change programs; now they're doing it during the commercials,bshs,new-york-free-the-18-million,doing it
195,"one was that, no matter how experienced we new york cityites have become at adjusting to shrunken services and tax pain, these new cuts in basic services are going to be visible in many instances and they are going to hurt",bshs,new-york-it-s-time-to-share-the-pain,experienced
196,"the court of appeals yesterday said the opposite - that unless it could be shown that the winner was responsible for the fraud, he could not be deprived of his victory, ''nor does the record in this case warrant the imposition of such a sanction",bshs,new-york-mississippi-for-a-while,deprived
