sentence,author,title,pet
"i hope that this is a better-late-than-never situation, that biden's engagement will help move some senators from ""no"" to ""yes"" on reforming the filibuster",cb,biden-filibuster-voting-rights,late
"during biden's victory speech he said, ""especially at those moments when this campaign was at its lowest ebb, the african american community stood up again for me,"" and he continued, ""you've always had my back, and i'll have yours",cb,biden-filibuster-voting-rights,african american
"it's not that biden hasn't advanced policies that benefit the african american community, efforts that the white house is quick to laud -- as it should -- when he faces criticism",cb,biden-haitian-migrants,african american
"this allowed trump to push through three justices, one accused of sexual assault",cb,biden-mcconnell-friendship,sexual assault
african americans and some other nonwhite americans simply weren't part of it,cb,black-voters,african americans
""" consideration of the bill dragged on into 1891, when william pitt kellogg, a former governor of louisiana and a strong supporter of african american voters, chastised president benjamin harrison in a statement for at first not being strongly in favor of nationally supervised elections and fully endorsing them only later",cb,black-voters,african american
""" it was already too late for the president to have the influence on the debate that the office of the presidency affords",cb,black-voters,late
"furthermore, the senate parliamentarian has advised democrats against including a pathway to citizenship for dreamers and other undocumented immigrants in their spending bill",cb,democrats-congress-midterms,undocumented immigrants
"but even if they succeed in passing both the infrastructure framework and the social spending bill, those investments may come too late to discharge growing dissatisfaction",cb,democrats-congress-midterms,late
"the son who was so upset by it, blake murphy, is now a lawyer in his late 20s who works for the national republican congressional committee",cb,glenn-youngkin-toni-morrison,late
""" a 2014 study examining 23andme data found that the average african american genome was about a quarter european",cb,glenn-youngkin-toni-morrison,african american
but perhaps the most problematic aspect of this case was that it represented yet another data point in the long history of some parts of the right valorizing white vigilantes who use violence against people of color and their white allies,cb,kyle-rittenhouse-not-guilty-vigilantes,people of color
"by 2065, it is projected that not only will asian americans outnumber african americans, but there will also be nearly twice as many hispanics in the country as black people",cb,latinos-colorism-anti-blackness,african americans
"but i never said the thing i thought i couldn't say: that parenthood was too much for me to do on my own, that it was consuming me, that i sometimes felt trapped in it, that it sometimes felt as if someone were sitting on my chest and i couldn't breathe",cb,life-changes-death,chest
"when people saw me, when they experienced me, they may well have seen a free spirit, even a reckless one",cb,life-changes-death,experienced
""" maybe some people who feel privately broken as i did will read this, and they will realize that they are not alone and that it is not too late to change",cb,life-changes-death,late
"i settled on a purpose while writing the book: i had suffered -- from childhood sexual abuse and the questioning and shame in its wake -- because i hadn't had the language, skills and courage to better navigate what i had experienced",cb,met-opera-new-york-memoir,experienced
""" that is the future mark zuckerberg's troubled facebook is aiming toward as it renames itself meta",cb,metaverse-facebook,troubled
"but i have had to put my foot down, and i've actually been doing it a little at a time for a while now",cb,metaverse-facebook,doing it
i must say that i feel like an addict finally getting clean,cb,metaverse-facebook,addict
"he was more than just the first african american to win an academy award for best actor, for his performance in the 1963 film ""lilies of the field""; he and his lifelong best friend, harry belafonte, were also the exemplars of the artist-as-activist model, both risking not only their careers but their lives, at the height of their celebrity, for the cause of civil rights",cb,my-dinner-with-sidney-poitier,african american
"i believe that i experienced the pandemic like many others: stunned and isolated, shocked by the sudden withdrawal of social life and social customs",cb,no-post-covid,experienced
"this week, one defense lawyer tried to get the civil rights icon jesse jackson kicked out of the courtroom, saying: the defense even called for a mistrial because of the presence of these preachers, but the judge dismissed the motion and called the defense's comments about black preachers ""reprehensible",cb,rittenhouse-trial-bannon,dismissed
"they involve white men who sought to overturn a fair election in which people of color secured a victory for biden over a white nationalist president, and a white man who defied congress to protect those white nationalists",cb,rittenhouse-trial-bannon,people of color
"he denied, diminished and dismissed them",cb,ron-desantis-covid-death,dismissed
"first, become the darling of the trump freedom fighters, fighting for the right to get sick and die",cb,ron-desantis-covid-death,freedom fighters
"and although 95 percent of that growth was due to people of color, the republican-led legislature is working on new maps that would increase the power of white republicans in the state and reduce the power of people of color",cb,texas-abortion-voting-transphobia,people of color
"as politico noted, he was far more outspoken as vice president, giving at least twice the number of interviews by his first october in office as he has while president, sometimes even visiting all three network morning shows in a single day",cb,wheres-joe-biden,outspoken
for most of my life i've considered myself pro-choice because i didn't have any confidence that i knew when life began and didn't want to impose my views on others,db,abortion-ambivalent-majority,pro-choice
"people are living longer, staying healthier longer and accomplishing things late in life that once seemed possible only at younger ages",db,age-life-expectancy,late
"classified as disabled dropped by a third between 1982 and 2005, while the share who were institutionalized fell nearly in half",db,age-life-expectancy,disabled
"in a study of more than 1,000 new zealanders, the slowest-aging participant aged only 0",db,age-life-expectancy,aging
"as a whole, americans seem to be aging more slowly than before",db,age-life-expectancy,aging
"but while these improvements have made it more likely that people will live to be 65, after that, aging itself takes an inexorable toll",db,age-life-expectancy,aging
"we may also need to address the underlying condition of aging itself, which is, after all, the primary risk factor for late-life decline",db,age-life-expectancy,aging
"jay olshansky, a professor of epidemiology and biostatistics at the university of illinois chicago, has helped define aging as ""the accumulation of random damage to the building blocks of life -- especially to dna, certain proteins, carbohydrates and lipids (fats) -- that begins early in life and eventually exceeds the body's self-repair capabilities",db,age-life-expectancy,aging
""" the question becomes, can we intervene to slow the aging process",db,age-life-expectancy,aging
"this week olshansky emailed me: ""while there are no documented interventions that have been proven safe and effective in slowing aging in humans today, we are on the verge of a breakthrough",db,age-life-expectancy,aging
""" he describes a series of experimental interventions designed to slow biological processes that are part of aging",db,age-life-expectancy,aging
"for example, as we age, we build up more and more ""senescent"" cells, which secrete inflammatory molecules that can effectively accelerate aging",db,age-life-expectancy,aging
"""treating aging sounds like science fiction until you've heard about the latest developments in aging biology,"" steele writes",db,age-life-expectancy,aging
"he adds, ""the crucial moment comes if we can start developing and rolling out treatments for aging that mean life expectancy rises by one year per year",db,age-life-expectancy,aging
""" an era of slow aging could present some real challenges",db,age-life-expectancy,aging
some people's self-image reflects the scorn they've experienced -- because it's very hard not to be affected by what people say about you,db,america-immigration-history,experienced
"when ""love me do"" was released in late 1962 with little support and low expectations from their label, a different kind of champion -- fans back in liverpool -- helped build up a wave of support for the song",db,beatles-destined-fame,late
"the senate passed a covid relief measure 96 to 1 in early march 2020, another 90 to 8 in mid-march, another 96 to 0 in late march and another 92 to 6 in december",db,biden-bipartisan-congress,late
""" when the senate advanced the roughly $1 trillion measure by a vote of 67 to 32, that was a sign that experienced politicians can, as biden suggested, make the system work",db,biden-bipartisan-congress,experienced
"at the end of every year, i pause from the rush of events to offer the sidney awards, which i created in honor of the late, great philosopher sidney hook",db,brooks-sidney-awards-2021,late
"we become attention addicts, in, as hayes puts it, ""pursuit through fame of a thing that fame cannot provide""-- genuine human connection",db,brooks-sidney-awards-2021,addicts
"west germany and japan endured widespread devastation during world war ii, yet in the years after the war both countries experienced miraculous economic growth",db,covid-economic-boom,experienced
"for over a year, many experienced daily routines that were slower paced, more rooted, more domestic",db,covid-economic-boom,experienced
"in late april, tom gimbel, who runs the recruiting and staffing firm lasalle network, told the times: ""it's the best job market i've seen in 25 years",db,covid-economic-boom,late
""" that energy seemed to be fading away in recent years, as americans came to move less and start new businesses less frequently",db,covid-economic-boom,fading away
"the first democratic myth is, ""people of color think and act alike",db,defeat-trump-democrat-myths,people of color
"at first, i thought this was ridiculous, but we did it, and it was the right thing to do",db,distrust-respect-safety,did it
"at least 27 percent of americans are estranged from a member of their own family, and research suggests about 40 percent of americans have experienced estrangement at some point",db,estranged-american-families,experienced
when we apply this lens to the african american experience we see that barriers to opportunity are still very high,db,how-racist-is-america,african american
"when you look at the data about african americans, the legacies of slavery and segregation and the effects of racism are everywhere",db,how-racist-is-america,african americans
"first, you can see why some people have issues with the phrase ""people of color",db,how-racist-is-america,people of color
"writing in gq, damon young argues that the term ""people of color"" has become a linguistic gesture, ""shorthand for white people uncomfortable with just saying 'black",db,how-racist-is-america,people of color
"tammy kim argues, ""'people of color,' by grouping all nonwhites in the united states, if not the world, fails to capture the disproportionate per-capita harm to blacks at the hands of the state",db,how-racist-is-america,people of color
"""i think it's because when you've been deprived of dignity you put a high, high premium on it",db,joe-biden-david-brooks-interview,deprived
"s back as late as the 70s were making 35, 40 times as much as the average employee",db,joe-biden-david-brooks-interview,late
"in my own seasons of suffering, i've been shocked at how emotional pain feels like searing physical pain in the stomach and chest, by how tempting it is to self-isolate and rob yourself of the very human contact you need most",db,sufferer-stranger-pain,chest
"in ""man's search for meaning,"" frankl wrote that he would try to help them recognize that ""life was still expecting something from them; something in the future was expected of them",db,sufferer-stranger-pain,expecting
"one focuses on concrete benefits for the disadvantaged -- reparations, more diverse hiring, more equitable housing and economic policies",db,this-is-how-wokeness-ends,disadvantaged
"if anything, that grief has grown more intense of late",fb,anthony-fauci,late
"it was on garish display during a house hearing just over a week ago, when representative jim jordan, doing a fan dance for fox news, tore into fauci as a doomsday addict less intent on saving people's lives than on scrapping people's liberties",fb,anthony-fauci,addict
and mcdonald's is late to the game,fb,beef-meatless-burger,late
"""single parent, child with special needs, nowhere near enough help",fb,blindness-friendship,special needs
"""road accident, broken bones, reconstructive surgeries, can no longer fully feel a kiss",fb,blindness-friendship,accident
that's not because i'm sloppy or run late,fb,blindness-friendship,late
"i approached him in late 2014 as i worked on a book about americans' obsession with admission to elite colleges like princeton, where, as it happened, i'd been a visiting professor that spring",fb,blindness-friendship,late
"""or is that too late",fb,blindness-friendship,late
"and the much-discussed ""trump bump"" that cable news channels and newspapers experienced in and right after 2016 faded over time",fb,donald-trump-moving-on,experienced
"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",fb,donald-trump,late
a mar-a-lago member who recently attended a club gathering for a deceased friend was surprised when trump sauntered in to deliver remarks and then hung around,fb,donald-trump,deceased
""" i'm sure ""low energy"" jeb, as trump mockingly dismissed him, is suffused with paternal pride",fb,donald-trump,dismissed
"we notice that we're received best for certain perspectives; maybe television bookers put us on camera expecting particular bromides and broadsides; possibly we get paid for speaking engagements that are premised, at least tacitly, on our delivery of the same fare we've served before",fb,frank-bruni-final-times-column,expecting
"i know i did when i wrote, in august 2019, about the tenacity of hate and i asserted that americans who still opposed same-sex marriage ""cannot bear the likes of me"" and other gay people",fb,frank-bruni-final-times-column,same-sex
too many columns are less sober analyses than snarky stand-up acts or primal screams,fb,frank-bruni-final-times-column,sober
what he'd experienced and observed in his life to that point convinced him that the odds were stacked against him and that he was in danger,fb,george-floyd-chauvin-trial,experienced
"three witnesses actually did call the police on the police, but it was too late",fb,george-floyd-chauvin-trial,late
"""pro-life"" and ""pro-choice"" are ideologically stacked labels, with currency for that reason",fb,gun-control-safety,pro-choice
"""gay marriage"" and ""same-sex marriage"" morphed into ""marriage equality"" among many of its supporters, who wanted to make clear that they weren't proposing some special or separate right but addressing an injustice",fb,gun-control-safety,same-sex
""" if spitzer is doing it, why can't we",fb,gun-control-safety,doing it
or if a new democratic majority is a slim one made possible by purple-state lawmakers wary of aggressive legislation,fb,joe-biden-2020,slim
"he cedes the frame and the moment entirely to americans themselves -- to black americans, white americans, native americans, disabled americans, young americans, old americans -- and to the landscapes in the lyrics of the song",fb,joe-biden-humility,disabled
"the new humility means that he and his aides aren't trying to monopolize the headlines by turbocharging chatter about who might get which cabinet positions but instead sending signals that this is a process, and a sober one at that",fb,joe-biden-humility,sober
"his new tricks include a more progressive bent than in the past and, it seems, a less firm attachment to bipartisanship than he once claimed -- developments that take into account the ravages of a pandemic, the toll of income inequality and his party's current pulse",fb,joe-biden-president,income inequality
"but republican obstructionism, a fraught passage in american history, and the prevailing passions of today's democrats have collaborated in a late-in-the-game metamorphosis that defies the usual arc of a life, political or otherwise",fb,joe-biden-president,late
"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",fb,kamala-harris-vp,late
"""he's, like, 6-2, which is why i don't understand why his hands are the size of someone who's 5-2,"" rubio told voters at a campaign rally in late february that year",fb,marco-rubio-ivanka-trump,late
"on fox news recently, he dismissed trump's upcoming senate trial as ""stupid,"" seemingly daring hawley, cruz and cotton to top his disdain and his adjective",fb,marco-rubio-ivanka-trump,dismissed
"michael tomasky wrote an excellent column in the times late last year about the way in which republicans, who have long branded themselves the party of ""freedom,"" now use the word and its variants in selective, wrongheaded and destructive ways that wind up endorsing recklessness more than liberty",fb,marjorie-taylor-greene-republican-party,late
"i can see how -- in another, saner country at another, saner time -- they might be dismissed as the gratuitous props of a party staging political theater, which is what republicans accuse democrats of doing",fb,marjorie-taylor-greene-republican-party,dismissed
"uncle boons, one of my favorite thai spots, didn't make it",fb,restaurants-closing-covid,didn't make it
"the best response that i read to that was, as it happens, in the times, by my colleague talmon joseph smith, who didn't wring his hands and beat his chest and overwork his thesaurus for synonyms for ""shameful,"" ""abomination"" and such",fb,rush-limbaugh-dead-reaction,chest
-- it was necessary to outright outlaw same-sex marriage via ballot referendums and amendments to state constitutions,fb,transgender-rights-republicans-arkansas,same-sex
"not by accident, they made an uncharacteristically prominent appearance in donald trump's first big speech after his exile from the white house, when he and other disappointed republicans were regrouping and trying to figure out the path forward",fb,transgender-rights-republicans-arkansas,accident
"""joe biden and the democrats are even pushing policies that would destroy women's sports,"" he told an audience at the conservative political action conference in florida in late february",fb,transgender-rights-republicans-arkansas,late
"so have lee chatfield, the republican speaker of michigan's house of representatives, and mike shirkey, the republican majority leader of michigan's senate, who took that scary trip to the white house almost two weeks ago and then took a pass on propping up trump",fb,trump-fauci-deep-state,pass on
"in the times late last week, lisa friedman described such efforts within the environmental protection agency",fb,trump-fauci-deep-state,late
"but i keep thinking about the late 1990s, bill clinton, that whole melodrama and how republicans used it in the service of a particular identity for their party",fb,trump-republican-impeachment,late
"they experienced us as arrogant, but also as special",fb,trump-supporters-america,experienced
it's no accident that he never beckoned donald trump to campaign with him,fb,trump-youngkin-virginia,accident
the same goes for every republican eyeing a presidential run in 2024 if trump takes a pass on the race,fb,trump-youngkin-virginia,pass on
"he saw that youngkin had a chance to win, undoubtedly wanted to be associated with that victory and apparently understood the upside of giving youngkin a pass on flamboyant trump idolatry",fb,trump-youngkin-virginia,pass on
"""your response when you see children wearing masks as they play should be no different from your response to seeing someone beat a kid at walmart,"" carlson railed",fb,tucker-carlson-trump,seeing someone
"when you're the subject of late-night comedians' monologues, you've really made it",fb,tucker-carlson-trump,late
"frank bruni will stop writing regular opinion columns in late june, but his popular weekly newsletter will live on",fb,uncle-aunt-parenting,late
"i experienced them as thrilling vacations from my parents, whose love was necessarily mingled with judgment",fb,uncle-aunt-parenting,experienced
"for instance, see how keating's headline on the death of supreme court justice antonin scalia -- ""death of hard-line jurist throws regime into chaos"" -- neatly underlined the quaint capriciousness of a political system in which one unelected judge's sudden demise can call into question fundamental rights across the land",fm,american-democracy,demise
"as an immigrant to the united states from one of the world's long-troubled regions, i've found myself thinking of keating's series quite a lot this year",fm,american-democracy,troubled
"although the trial came to a conclusion on monday, its true climax was late last week, when gonzalez rogers -- who is not expected to render her verdict for months, peppered cook with a series of pointed queries about apple's golden-goose business model",fm,apple-app-store-fortnite-lawsuit,late
only late last year did it offer a price break for small-time developers,fm,apple-app-store-fortnite-lawsuit,did it
"on the campaign trail, joe biden declined to ""demonize"" the wealthy and told rich donors that ""nothing would fundamentally change"" for their standard of living -- a promise he has kept",fm,billionaires-covid,wealthy
"the biden white house has proposed tax increases on the wealthy, but the president has remained far from a tax on accumulated wealth or other efforts to snip the wings of the extremely wealthy",fm,billionaires-covid,wealthy
because that's how i've come to think of late summer and fall here nowadays,fm,california-climate-change-fires-heat,late
"in the san francisco bay area, where i live, the air has so far remained short of noxious, but nobody i know is expecting it to remain that way",fm,california-climate-change-fires-heat,expecting
"it can be hard to know you're in a drought until it's too late to do much about it; then, when the rains come back, it can be just as difficult to believe the water will ever run out again, so why worry about the next dry spell",fm,california-drought-water-climate,late
"between 2012 and 2016, california experienced the most severe drought in a millennium",fm,california-drought-water-climate,experienced
"this state's voters have passed proposition 13, a revolt against property taxes; proposition 187, which denied public services to undocumented immigrants; proposition 209, which prohibited affirmative action in the public sector; and proposition 8, the 2008 ban on gay marriage whose reversal by the supreme court paved the way for marriage equality in the land",fm,california-recall-newsom-larry-elder,undocumented immigrants
"elder has denied datig's claim and rejected his opponents' counsel; late last week, he shook up his campaign staff",fm,california-recall-newsom-larry-elder,late
but here i am doing it again -- i'm projecting my own human intuition onto my felines,fm,cats-dogs-consciousness,doing it
"republicans in the senate had balked at the climate plan, especially its effort to raise taxes on the wealthy to pay for many of its investments",fm,climate-change-congress,wealthy
late last week president biden achieved something i'd thought impossible: he got me to feel bad for mark zuckerberg,fm,coronavirus-vaccine-facebook,late
"as was evident in the country's bloodless handover from racist rule, troubled as it has been, there was a fundamental social stability undergirding south african society that i believed would hold",fm,coronavirus-vaccine-south-africa,troubled
"thanks to mass vaccination, it's beginning to feel like morning in wealthy parts of the world, notwithstanding the social and political dislocations the virus has created in the united states",fm,coronavirus-vaccine-south-africa,wealthy
"if the billions of people in the world's middle- and low-income countries continue to feel hopelessly locked out of any chance at liberation from the virus, what will happen as the world is transformed by climate change",fm,coronavirus-vaccine-south-africa,low-income
"but as ahmed pointed out, in the case of covid-19, what the wealthy world owes the developing world is not any kind of mystery",fm,coronavirus-vaccine-south-africa,wealthy
"recently i've been hooked on facebook's oculus quest 2, the light, portable virtual-reality headset released late last year",fm,face-computers-virtual-reality,late
it is no accident that facebook has been telling lawmakers that it welcomes reforms to section 230 -- while smaller sites like etsy and tripadvisor are nervous about the possibility,fm,facebook-regulation-section-230,accident
"and in late 1961, when doctors in europe began to link the drug to a wave of birth deformities, kelsey's diligence was validated",fm,fda-drug-approval-trust,late
"), the ""sexting"" scare of the late 2000s, and the widely exaggerated fear, in the 1990s, that urban gangs posed a terrible threat to public safety",fm,instagram-teenagers,late
rittenhouse shot huber in the chest,fm,kyle-rittenhouse-guns,chest
how did it help anyone in the community he was trying to protect,fm,kyle-rittenhouse-guns,did it
not only do lawmakers give the pentagon a free pass on its budget; sometimes they even force the agency to keep the little fat it's trying to trim,fm,military-budget-build-back-better,pass on
let go of the tension,fm,relaxing-muscles-skills,let go of
"but mine is a troubled love, a guilty love, a love whose implications confuse and alarm me",fm,self-driving-car-escalade,troubled
"the internet didn't start the fire, but it's undeniable that it has fostered a sour and fragmented global polity -- an atmosphere of pervasive mistrust, corroding institutions and a collective retreat into the comforting bosom of confirmation bias",fm,technology-internet-cooperation,bosom
"late last month, the census bureau released the first results from its 2020 count, and the numbers confirmed what demographers have been warning of for years: the united states is undergoing ""demographic stagnation,"" transitioning from a relatively fast-growing country of young people to a slow-growing, older nation",fm,the-world-might-be-running-low-on-americans,late
"the nation will cross the 400-million population mark sometime in the late 2050s, but by then we'll be quite long in the tooth -- about half of americans will be over 45, and one fifth will be older than 85",fm,the-world-might-be-running-low-on-americans,late
"for instance, experts predict a major shortage of health care workers, especially home care workers, who will be needed to help the aging nation",fm,the-world-might-be-running-low-on-americans,aging
i also believe that the united states' founding idea of universal equality will never be fully realized until we recognize that people outside our borders are as worthy of our ideals as those here through an accident of birth,fm,the-world-might-be-running-low-on-americans,accident
""" weeks, the author of ""the problem with work,"" is among a handful of scholars who have been pushing for a wholesale reappraisal of the role that work plays in wealthy societies",fm,work-resignations-covid,wealthy
"in the united states, the biden administration's huge social policy legislation -- now stalled in congress -- was also conceived in part as a way to address the kind of problems working people experienced during the pandemic",fm,work-resignations-covid,experienced
"mild, like a mellow aging uncle who might own a very nippy german shepherd",gc,biden-infrastructure-plan,aging
"besides fixing up 20,000 miles of roads, he wants to do everything from electrifying the yellow school bus fleets to getting rid of lead pipes that taint the water supply to a $400 billion commitment to helping the elderly and disabled",gc,biden-infrastructure-plan,disabled
"in the end, that infrastructure week was a bust for highways and trains and such",gc,biden-infrastructure-plan,bust
"""young and middle-aged and even some elderly",gc,biden-student-loan-debt,elderly
"of course, some are elderly fans who were standing in line waiting for it",gc,cuomo-guilty-harassment,elderly
just because an employee doesn't slap you when you run your hand over her chest doesn't mean she enjoyed it,gc,cuomo-resigns,chest
"but six of the victims were of asian descent, and the country's been troubled lately by violence against asian-americans",gc,filibuster-senate-gun-control,troubled
"""restoring the right of vulnerable, law-abiding women to carry a handgun in texas is pro-life,"" tweeted state representative matt schaefer, the lead author of the new law",gc,gun-control-safety-laws,pro-life
"mills clearly had a drinking problem, but he got re-elected anyway, and rewarded his constituents by flying off to reunite with foxe, who would eventually perform as ""the tidal basin bombshell",gc,matt-gaetz-scandal,drinking problem
"right now we've got those primaries, and it truly is a hell of a lot of work to weed through eight democrats with very similar views on a whole lot of issues",gc,nyc-mayoral-candidates-election,weed
"since virtually all that expanded population is people of color, it would seem natural that the new maps include more districts likely to elect minority representatives",gc,redistricting-gerrymandering-democrats-republicans,people of color
"""unfortunately,"" he said, ""the frustration of the process proves the point of why we're doing it",gc,redistricting-gerrymandering-voting,doing it
"""we were expecting to do well in new york and now, we'll lose four seats and the old broken-down crow, mitch mcconnell, sits back and does nothing to help the party,"" complained donald trump, managing to blame someone who has as much to do with redistricting in new york as brad pitt",gc,redistricting-gerrymandering-voting,expecting
"on the plus side, in this troubled age of mega-decibel ideological shrieking, it's kinda soothing to see everybody behaving like the sneaky, pragmatic back-room pols of yore",gc,redistricting-gerrymandering-voting,troubled
"""everyone's expecting that's where the bad guys are going to gravitate,"" said murray",gc,spam-call-blocking,expecting
"""that's making it harder for the most low-income folks,"" said dr",gc,texas-abortion-law,low-income
"if you want candidates to be responsive to ordinary voters rather than wealthy special-interest donors, there's got to be some way to wring cash out of normal, nonrich americans",gc,trump-biden-email-fundraising,wealthy
"he died an alcoholic, a project he was already working on long before he hit the white house",gc,trump-worst-presidents,alcoholic
""" people, does this sound like a mayor who would help the city look on the bright side during troubled times",gc,voting-elections-governor,troubled
"a qualified nominee, in other words, is not necessarily a judicially experienced nominee",jb,biden-breyer-supreme-court,experienced
political considerations abounded in the nomination battles of the late 19th century,jb,biden-breyer-supreme-court,late
"and in the same way that he refused to act on his own infection -- until it was almost too late -- he also refused to act to stem a pandemic that, at the time of his positive test, had killed more than 200,000 americans",jb,biden-trump-covid-test,late
"and the final clause of article 5 of the constitution -- ""no state, without its consent, shall be deprived of its equal suffrage in the senate"" -- is an insurmountable obstacle to ending the distortions caused by equal state representation in that chamber",jb,democracy-madison-robert-dahl,deprived
""" dahl, who was then in his late 80s, did not think that constitutional change of any kind was on the horizon",jb,democracy-madison-robert-dahl,late
"anxious to retain power in washington, republicans took every opportunity to pin the late rebellion on their democratic opponents, north and south",jb,democrats-bloody-shirt-jan-6,late
they did it again in 1870 to repel the democratic advance i mentioned and also to help resolve emerging tensions within the party,jb,democrats-bloody-shirt-jan-6,did it
even the most sober version of this critique makes it sound as if the democratic party is in the grip of its most left-wing officials and constituents,jb,democrats-progressives-moderates-elections,sober
"the jefferson school african american heritage center works to preserve and honor the heritage and legacy of the african american community of charlottesville and its surrounding counties, as well as provide educational and other resources to residents and scholars in the area",jb,donate-local-charlottesville,african american
") among many other things, the legal aid justice center helps low-income charlottesville residents receive health care and public benefits, advocates for immigrants at work and in the courts, and fights to improve access to affordable housing in the area",jb,donate-local-charlottesville,low-income
"terms like ""bipoc"" (an acronym for black, indigenous and people of color) and especially ""latinx"" alienated the working-class black and hispanic voters who shifted to trump in key states like florida and north carolina",jb,hispanic-voters-messaging,people of color
"to say that you don't want to foster an ""entitlement"" mentality among america's able-bodied adults is to make a statement about the proper order of things, as you understand them",jb,joe-manchin-biden,able-bodied
"these ideas don't just fade away, and the extent to which they are recapitulated by the media, politics and, most important, the material conditions of our society, all but guarantees their continued potency, especially when the rising costs of housing, education and health care encourage zero-sum competition for every available advantage",jb,joe-manchin-biden,fade away
""" he is not speaking about different parties; he's speaking about the mass of the poor, working and indigent against the owners of property and wealth",jb,joe-manchin-filibuster-james-madison,indigent
"no, democrats won't get everything out of congress that they want; their majorities are too slim and their coalition is too fractious",jb,majority-democrats-republicans-senate,slim
